label	Sample collection date	Sample collection date decimal
Coli_000001	2012-12-04	2012.9234972677596
Coli_000002	2015-07-02	2015.4986301369863
Coli_000003	2010-10-05	2010.7589041095891
Coli_000004	2013-02-01	2013.0849315068492
Coli_000005	2014-06-30	2014.4931506849316
Coli_000006	2012-02-28	2012.1584699453551
Coli_000007	2013-01-17	2013.0438356164384
Coli_000008	2014-03-07	2014.1780821917807
Coli_000009	2013-01-17	2013.0438356164384
Coli_000010	2012-05-22	2012.3879781420765
Coli_000011	2015-01-18	2015.0465753424658
Coli_000012	2019-04-26	2019.3150684931506
Coli_000013	2012-05-22	2012.3879781420765
Coli_000014	2016-01-05	2016.0109289617487
Coli_000015	2014-12-08	2014.9342465753425
Coli_000016	2013-08-23	2013.641095890411
Coli_000017	2013-08-31	2013.66301369863
Coli_000018	2013-11-27	2013.9041095890411
Coli_000019	2014-07-26	2014.5643835616438
Coli_000020	2014-08-18	2014.627397260274
Coli_000021	2014-12-08	2014.9342465753425
Coli_000022	2014-08-18	2014.627397260274
Coli_000023	2014-01-01	2014
Coli_000024	2011-12-02	2011.9178082191781
Coli_000025	2017-07-31	2017.5780821917808
Coli_000026	1985-07-01	1985.495890410959
Coli_000027	1989-07-01	1989.495890410959
Coli_000028	2002-07-01	2002.495890410959
Coli_000029	2003-07-01	2003.495890410959
Coli_000030	2003-07-01	2003.495890410959
Coli_000031	2014-07-01	2014.495890410959
Coli_000032	2014-07-01	2014.495890410959
Coli_000033	2014-07-01	2014.495890410959
Coli_000034	2014-07-01	2014.495890410959
Coli_000035	2014-07-01	2014.495890410959
Coli_000036	2014-07-01	2014.495890410959
Coli_000037	2014-07-01	2014.495890410959
Coli_000038	2014-07-01	2014.495890410959
Coli_000039	2014-07-01	2014.495890410959
Coli_000040	2013-07-01	2013.495890410959
Coli_000041	2013-07-01	2013.495890410959
Coli_000042	2013-07-01	2013.495890410959
Coli_000043	2013-07-01	2013.495890410959
Coli_000044	2013-07-01	2013.495890410959
Coli_000045	2014-07-01	2014.495890410959
Coli_000046	2014-07-01	2014.495890410959
Coli_000047	2014-07-01	2014.495890410959
Coli_000048	2014-07-01	2014.495890410959
Coli_000049	2015-07-01	2015.495890410959
Coli_000050	2014-07-01	2014.495890410959
Coli_000051	2014-07-01	2014.495890410959
Coli_000052	2014-07-01	2014.495890410959
Coli_000053	2014-07-01	2014.495890410959
Coli_000054	2015-07-01	2015.495890410959
Coli_000055	2010-07-01	2010.495890410959
Coli_000056	2010-07-01	2010.495890410959
Coli_000057	2010-07-01	2010.495890410959
Coli_000058	2010-07-01	2010.495890410959
Coli_000059	2010-07-01	2010.495890410959
Coli_000060	2010-07-01	2010.495890410959
Coli_000061	2010-07-01	2010.495890410959
Coli_000062	2010-07-01	2010.495890410959
Coli_000063	2010-07-01	2010.495890410959
Coli_000064	2010-07-01	2010.495890410959
Coli_000065	2010-07-01	2010.495890410959
Coli_000066	2010-07-01	2010.495890410959
Coli_000067	2010-07-01	2010.495890410959
Coli_000068	2010-07-01	2010.495890410959
Coli_000069	2010-07-01	2010.495890410959
Coli_000070	2010-07-01	2010.495890410959
Coli_000071	2011-07-01	2011.495890410959
Coli_000072	2011-07-01	2011.495890410959
Coli_000073	2011-07-01	2011.495890410959
Coli_000074	2011-07-01	2011.495890410959
Coli_000075	2011-07-01	2011.495890410959
Coli_000076	2010-07-01	2010.495890410959
Coli_000077	2010-07-01	2010.495890410959
Coli_000078	2010-07-01	2010.495890410959
Coli_000079	2011-07-01	2011.495890410959
Coli_000080	2011-07-01	2011.495890410959
Coli_000081	2011-07-01	2011.495890410959
Coli_000082	2011-07-01	2011.495890410959
Coli_000083	2011-07-01	2011.495890410959
Coli_000084	2011-07-01	2011.495890410959
Coli_000085	2011-07-01	2011.495890410959
Coli_000086	2011-07-01	2011.495890410959
Coli_000087	2011-07-01	2011.495890410959
Coli_000088	2011-07-01	2011.495890410959
Coli_000089	2011-07-01	2011.495890410959
Coli_000090	2011-07-01	2011.495890410959
Coli_000091	2011-07-01	2011.495890410959
Coli_000092	2008-07-01	2008.4972677595629
Coli_000093	2012-07-01	2012.4972677595629
Coli_000094	2013-07-01	2013.495890410959
Coli_000095	2015-08-24	2015.6438356164383
Coli_000096	2009-12-14	2009.9506849315069
Coli_000097	2009-09-10	2009.690410958904
Coli_000098	2009-09-10	2009.690410958904
Coli_000099	2009-09-10	2009.690410958904
Coli_000100	2010-12-16	2010.9561643835616
Coli_000101	2006-01-23	2006.0602739726028
Coli_000102	2008-10-22	2008.8060109289618
Coli_000103	2013-07-01	2013.495890410959
Coli_000104	2013-07-01	2013.495890410959
Coli_000105	2013-07-01	2013.495890410959
Coli_000106	2012-07-01	2012.4972677595629
Coli_000107	2008-07-01	2008.4972677595629
Coli_000108	2010-07-01	2010.495890410959
Coli_000109	2013-07-01	2013.495890410959
Coli_000110	2013-07-01	2013.495890410959
Coli_000111	2014-07-01	2014.495890410959
Coli_000112	2007-07-01	2007.495890410959
Coli_000113	2007-07-01	2007.495890410959
Coli_000114	2012-07-01	2012.4972677595629
Coli_000115	2013-07-01	2013.495890410959
Coli_000116	2012-07-01	2012.4972677595629
Coli_000117	2013-07-01	2013.495890410959
Coli_000118	2014-07-01	2014.495890410959
Coli_000119	2012-07-01	2012.4972677595629
Coli_000120	2010-07-01	2010.495890410959
Coli_000121	2012-07-01	2012.4972677595629
Coli_000122	2013-07-01	2013.495890410959
Coli_000123	2008-07-01	2008.4972677595629
Coli_000124	2009-07-01	2009.495890410959
