label	r2	pvalue	MRCA
ST11	0.0701780502564779	0	1635.43804282604
ST16	0.100564892294743	0	1392.74172414821
ST21	0.0980396285497827	0	1810.72889606827
ST29	0.129656097824321	0	1672.63771448512
ST32	0.0800402541526958	0	1977.92696690962
ST38	0.0227234489587231	7e-04	1885.50966396475
ST48	0.0579936620661732	0.0049	1879.34436805829
ST58	0.0435702693723348	3e-04	1560.16256805546
ST69	0.208253762636846	0	1907.0561571234
ST73	0.0306649099605715	0	1734.41007727826
ST88	0.107160792622976	0	1768.55360053178
ST95	0.073780507030338	0	1728.7812200413
ST101	0.203262696798231	0	1902.28874075126
ST117	0.18020108785697	0	1909.91927500686
ST127	0.0990294900280743	0	1528.29463632399
ST131	0.0403288544445299	0	1894.72594017559
ST155	0.0564342702968367	0	1881.10692756347
ST156	0.0685755091885544	1e-04	1963.17450120688
ST167	0.158231437240764	0	1945.35642557426
ST405	0.183634233019271	0	1931.40764168757
ST410	0.43852555886427	0	1884.16240415932
ST648	0.223682238416413	0	1938.40921278168
ST655	0.179572524991436	1e-04	1301.79081861749
ST2332	0.0956466884477884	0	1989.64749154155
